Review ID,Month,Property ID,Property Address,Borough,Neighborhood,Asset Type,Property Manager,Finding Owner,Review Type,Issue Category,Severity,Status,Finding Description,Recommendation,Recommended Follow-Up Priority
REV-0001449,2025-01-01,PROP-0166,207 EAST 57 STREET,Manhattan,MIDTOWN EAST,Multifamily Condo,Drew Thompson,Nadia Williams,Monthly Financial Review,Income below budget,High,In Review,Income below budget detected for 2025-01-01. Expense variance 11.4%; income variance -21.0%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",High priority follow-up
REV-0002156,2025-01-01,PROP-0168,57 READE STREET,Manhattan,CIVIC CENTER,Mixed-Use Condo,Drew Thompson,Drew Thompson,Operations/SLA Review,Overdue work order,High,Open,Critical priority Janitorial work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0001147,2025-01-01,PROP-0037,429 GREENWICH STREET,Manhattan,TRIBECA,Multifamily Condo,Jordan Lee,Morgan Patel,Vendor Invoice Review,Approval status: Rejected,High,In Review,Invoice INV-0037-01-02208 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0001961,2025-01-01,PROP-0037,429 GREENWICH STREET,Manhattan,TRIBECA,Multifamily Condo,Jordan Lee,Avery Johnson,Operations/SLA Review,Overdue work order,High,Open,High priority HVAC work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0000980,2025-01-01,PROP-0095,378 BALTIC STREET,Brooklyn,CARROLL GARDENS,Multifamily Condo,Jordan Lee,Jordan Lee,Vendor Invoice Review,Approval status: Pending,High,In Review,Invoice INV-0095-01-05754 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0000880,2025-01-01,PROP-0080,380 KINGS HIGHWAY,Brooklyn,GRAVESEND,Multifamily Condo,Morgan Patel,Riley Chen,Vendor Invoice Review,Approval status: Rejected,High,In Review,Invoice INV-0080-01-04845 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0002178,2025-01-01,PROP-0080,380 KINGS HIGHWAY,Brooklyn,GRAVESEND,Multifamily Condo,Morgan Patel,Nadia Williams,Operations/SLA Review,Overdue work order,High,Open,High priority Tenant Request work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0000553,2025-01-01,PROP-0013,125 NORTH 10 STREET,Brooklyn,WILLIAMSBURG-NORTH,Multifamily Condo,Nadia Williams,Samira Khan,Vendor Invoice Review,Late payment,High,Open,Invoice INV-0013-01-00774 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Immediate action
REV-0001620,2025-01-01,PROP-0013,125 NORTH 10 STREET,Brooklyn,WILLIAMSBURG-NORTH,Multifamily Condo,Nadia Williams,Casey Rivera,Monthly Financial Review,Income below budget,High,Open,Income below budget detected for 2025-01-01. Expense variance 8.2%; income variance -21.0%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Immediate action
REV-0001509,2025-01-01,PROP-0041,601 WEST 41 STREET,Manhattan,CLINTON,Multifamily Condo,Nadia Williams,Morgan Patel,Monthly Financial Review,Income below budget,High,Open,Income below budget detected for 2025-01-01. Expense variance 2.5%; income variance -12.5%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Immediate action
REV-0001285,2025-01-01,PROP-0092,5024 10 AVENUE,Brooklyn,BOROUGH PARK,Residential Condo,Nadia Williams,Taylor Morgan,Monthly Financial Review,Income below budget,High,Open,Income below budget detected for 2025-01-01. Expense variance 7.4%; income variance -16.7%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Immediate action
REV-0000229,2025-01-01,PROP-0057,727 OCEAN VIEW AVENUE,Brooklyn,BRIGHTON BEACH,Mixed-Use Condo,Riley Chen,Casey Rivera,Vendor Invoice Review,Late payment,High,In Review,Invoice INV-0057-01-03436 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0000321,2025-01-01,PROP-0082,415 EAST 54 STREET,Manhattan,MIDTOWN EAST,Multifamily Condo,Riley Chen,Avery Johnson,Vendor Invoice Review,Approval status: Pending,High,In Review,Invoice INV-0082-01-04975 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0001756,2025-01-01,PROP-0118,195 HUDSON STREET,Manhattan,TRIBECA,Multifamily Condo,Riley Chen,Casey Rivera,Operations/SLA Review,Overdue work order,High,Open,Critical priority Tenant Request work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Immediate action
REV-0001272,2025-01-01,PROP-0017,316 WEST 116 STREET,Manhattan,MANHATTAN VALLEY,Multifamily Condo,Samira Khan,Morgan Patel,Monthly Financial Review,Expense over budget,High,Open,Expense over budget detected for 2025-01-01. Expense variance 23.1%; income variance -10.6%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Immediate action
REV-0001738,2025-01-01,PROP-0056,3015 BRIGHTON 6 STREET,Brooklyn,BRIGHTON BEACH,Mixed-Use Condo,Samira Khan,Samira Khan,Operations/SLA Review,Overdue work order,High,In Review,High priority Janitorial work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0001444,2025-01-01,PROP-0068,42-83 HUNTER STREET,Queens,LONG ISLAND CITY,Retail-Adjacent Condo,Taylor Morgan,Casey Rivera,Monthly Financial Review,Income below budget,High,In Review,Income below budget detected for 2025-01-01. Expense variance 5.1%; income variance -13.2%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",High priority follow-up
REV-0000632,2025-01-01,PROP-0091,321 5 AVENUE,Manhattan,MURRAY HILL,Residential Condo,Taylor Morgan,Casey Rivera,Vendor Invoice Review,Approval status: Pending,High,In Review,Invoice INV-0091-01-05516 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",High priority follow-up
REV-0001835,2025-01-01,PROP-0140,80 RICHMOND HILL ROAD,Staten Island,NEW SPRINGVILLE,Multifamily Condo,Taylor Morgan,Morgan Patel,Operations/SLA Review,Overdue work order,High,In Review,Critical priority HVAC work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",High priority follow-up
REV-0000648,2025-12-01,PROP-0022,2408 OCEAN AVENUE,Brooklyn,MADISON,Multifamily Condo,Avery Johnson,Nadia Williams,Vendor Invoice Review,Missing GL code,Medium,Open,Invoice INV-0022-12-01398 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open item follow-up
REV-0002166,2025-12-01,PROP-0094,546 55 STREET,Brooklyn,SUNSET PARK,Residential Condo,Avery Johnson,Riley Chen,Operations/SLA Review,Overdue work order,Medium,In Review,Low priority Common Area work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Continue review
REV-0000973,2025-12-01,PROP-0135,160 WEST END AVENUE,Manhattan,UPPER WEST SIDE (59-79),Residential Condo,Avery Johnson,Cameron Brooks,Vendor Invoice Review,Late payment,Medium,In Review,Invoice INV-0135-12-08187 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0001787,2025-12-01,PROP-0135,160 WEST END AVENUE,Manhattan,UPPER WEST SIDE (59-79),Residential Condo,Avery Johnson,Morgan Patel,Operations/SLA Review,Overdue work order,Medium,Open,Medium priority Security work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Open item follow-up
REV-0000994,2025-12-01,PROP-0147,155 BAY STREET,Staten Island,NEW BRIGHTON-ST. GEORGE,Mixed-Use Condo,Avery Johnson,Cameron Brooks,Vendor Invoice Review,Approval status: Rejected,Medium,Open,Invoice INV-0147-12-08911 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open item follow-up
REV-0000373,2025-12-01,PROP-0149,850 HOWARD AVENUE,Staten Island,SUNNYSIDE,Multifamily Condo,Avery Johnson,Samira Khan,Vendor Invoice Review,Approval status: Pending,Medium,In Review,Invoice INV-0149-12-09026 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0000172,2025-12-01,PROP-0028,40-01 LITTLE NECK PARKWAY,Queens,LITTLE NECK,Multifamily Condo,Cameron Brooks,Cameron Brooks,Vendor Invoice Review,Potential duplicate invoice,Medium,In Review,Invoice INV-0028-01-01698 requires review: Potential duplicate invoice.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0001339,2025-12-01,PROP-0028,40-01 LITTLE NECK PARKWAY,Queens,LITTLE NECK,Multifamily Condo,Cameron Brooks,Drew Thompson,Monthly Financial Review,Expense over budget,Medium,Open,Expense over budget detected for 2025-12-01. Expense variance 18.0%; income variance -8.4%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Open item follow-up
REV-0002057,2025-12-01,PROP-0028,40-01 LITTLE NECK PARKWAY,Queens,LITTLE NECK,Multifamily Condo,Cameron Brooks,Drew Thompson,Operations/SLA Review,Overdue work order,Medium,In Review,Medium priority Common Area work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Continue review
REV-0001497,2025-12-01,PROP-0122,27 KING STREET,Manhattan,SOHO,Residential Condo,Cameron Brooks,Taylor Morgan,Monthly Financial Review,Income below budget,Medium,Open,Income below budget detected for 2025-12-01. Expense variance 5.9%; income variance -10.2%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Open item follow-up
REV-0001059,2025-12-01,PROP-0060,200 EAST 58 STREET,Manhattan,MIDTOWN EAST,Multifamily Condo,Casey Rivera,Taylor Morgan,Vendor Invoice Review,Approval status: Pending,Medium,In Review,Invoice INV-0060-12-03682 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0000699,2025-12-01,PROP-0111,260 PARK AVENUE SOUTH,Manhattan,FLATIRON,Mixed-Use Condo,Casey Rivera,Taylor Morgan,Vendor Invoice Review,Late payment,Medium,Open,Invoice INV-0111-12-06763 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open item follow-up
REV-0001535,2025-12-01,PROP-0111,260 PARK AVENUE SOUTH,Manhattan,FLATIRON,Mixed-Use Condo,Casey Rivera,Samira Khan,Monthly Financial Review,Expense over budget,Medium,Open,Expense over budget detected for 2025-12-01. Expense variance 14.2%; income variance -0.5%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Open item follow-up
REV-0001176,2025-12-01,PROP-0160,64-86 WETHEROLE STREET,Queens,15TH Q QUEENS,Mixed-Use Condo,Casey Rivera,Drew Thompson,Vendor Invoice Review,Missing GL code,Medium,Open,Invoice INV-0160-12-09673 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open item follow-up
REV-0001052,2025-12-01,PROP-0014,56-16 SEABURY STREET,Queens,ELMHURST,Multifamily Condo,Drew Thompson,Nadia Williams,Vendor Invoice Review,Missing GL code,Medium,In Review,Invoice INV-0014-12-00908 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0001739,2025-12-01,PROP-0166,207 EAST 57 STREET,Manhattan,MIDTOWN EAST,Multifamily Condo,Drew Thompson,Nadia Williams,Operations/SLA Review,Overdue work order,Medium,In Review,Medium priority Tenant Request work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Continue review
REV-0001609,2025-12-01,PROP-0009,1154 1 AVENUE,Manhattan,UPPER EAST SIDE (59-79),Residential Condo,Jordan Lee,Taylor Morgan,Monthly Financial Review,Income below budget,Medium,In Review,Income below budget detected for 2025-12-01. Expense variance 9.7%; income variance -9.6%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Continue review
REV-0000864,2025-12-01,PROP-0026,94 SKILLMAN STREET,Brooklyn,BEDFORD STUYVESANT,Multifamily Condo,Jordan Lee,Taylor Morgan,Vendor Invoice Review,Approval status: Pending,Medium,In Review,Invoice INV-0026-12-01644 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0000096,2025-12-01,PROP-0053,235 OCEAN PARKWAY,Brooklyn,KENSINGTON,Residential Condo,Jordan Lee,Cameron Brooks,Vendor Invoice Review,Late payment,Medium,In Review,Invoice INV-0053-12-03252 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0000477,2025-12-01,PROP-0063,577 WEST 161 STREET,Manhattan,WASHINGTON HEIGHTS LOWER,Multifamily Condo,Jordan Lee,Jordan Lee,Vendor Invoice Review,Late payment,Medium,Open,Invoice INV-0063-12-03872 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open item follow-up
REV-0002176,2025-12-01,PROP-0063,577 WEST 161 STREET,Manhattan,WASHINGTON HEIGHTS LOWER,Multifamily Condo,Jordan Lee,Drew Thompson,Operations/SLA Review,Overdue work order,Medium,Open,Low priority Common Area work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Open item follow-up
REV-0002111,2025-12-01,PROP-0087,599 4 AVENUE,Brooklyn,SUNSET PARK,Mixed-Use Condo,Jordan Lee,Jordan Lee,Operations/SLA Review,Overdue work order,Medium,Open,Low priority Tenant Request work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Open item follow-up
REV-0001402,2025-12-01,PROP-0095,378 BALTIC STREET,Brooklyn,CARROLL GARDENS,Multifamily Condo,Jordan Lee,Cameron Brooks,Monthly Financial Review,Expense over budget,Medium,In Review,Expense over budget detected for 2025-12-01. Expense variance 16.6%; income variance -2.3%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Continue review
REV-0001970,2025-12-01,PROP-0095,378 BALTIC STREET,Brooklyn,CARROLL GARDENS,Multifamily Condo,Jordan Lee,Jordan Lee,Operations/SLA Review,Overdue work order,Medium,Open,Medium priority Electrical work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Open item follow-up
REV-0001640,2025-12-01,PROP-0117,346 EAST 21 STREET,Manhattan,KIPS BAY,Multifamily Condo,Jordan Lee,Riley Chen,Monthly Financial Review,Expense over budget,Medium,In Review,Expense over budget detected for 2025-12-01. Expense variance 14.2%; income variance -1.0%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Continue review
REV-0001403,2025-12-01,PROP-0129,520 EAST 81 STREET,Manhattan,UPPER EAST SIDE (79-96),Residential Condo,Jordan Lee,Samira Khan,Monthly Financial Review,Expense over budget,Medium,In Review,Expense over budget detected for 2025-12-01. Expense variance 12.8%; income variance -7.6%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Continue review
REV-0001868,2025-12-01,PROP-0129,520 EAST 81 STREET,Manhattan,UPPER EAST SIDE (79-96),Residential Condo,Jordan Lee,Taylor Morgan,Operations/SLA Review,Overdue work order,Medium,In Review,Low priority Plumbing work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Continue review
REV-0001906,2025-12-01,PROP-0008,145 LINCOLN AVENUE,Staten Island,GRANT CITY,Multifamily Condo,Morgan Patel,Morgan Patel,Operations/SLA Review,Overdue work order,Medium,In Review,Low priority Plumbing work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Continue review
REV-0000270,2025-12-01,PROP-0065,3427 BRUCKNER BOULEVARD,Bronx,SCHUYLERVILLE/PELHAM BAY,Multifamily Condo,Morgan Patel,Cameron Brooks,Vendor Invoice Review,Late payment,Medium,Open,Invoice INV-0065-12-03991 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open item follow-up
REV-0001513,2025-12-01,PROP-0156,3050 CORLEAR AVENUE,Bronx,KINGSBRIDGE/JEROME PARK,Residential Condo,Morgan Patel,Avery Johnson,Monthly Financial Review,Income below budget,Medium,In Review,Income below budget detected for 2025-12-01. Expense variance 11.4%; income variance -9.4%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Continue review
REV-0000297,2025-12-01,PROP-0041,601 WEST 41 STREET,Manhattan,CLINTON,Multifamily Condo,Nadia Williams,Nadia Williams,Vendor Invoice Review,Approval status: Pending,Medium,In Review,Invoice INV-0041-12-02503 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0000261,2025-12-01,PROP-0085,102 BRADHURST AVENUE,Manhattan,HARLEM-CENTRAL,Residential Condo,Nadia Williams,Jordan Lee,Vendor Invoice Review,Late payment,Medium,Open,Invoice INV-0085-12-05197 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open item follow-up
REV-0001096,2025-12-01,PROP-0098,151 WEST 17 STREET,Manhattan,CHELSEA,Residential Condo,Nadia Williams,Samira Khan,Vendor Invoice Review,Approval status: Pending,Medium,Open,Invoice INV-0098-12-05982 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open item follow-up
REV-0001811,2025-12-01,PROP-0102,46-22 171 STREET,Queens,FLUSHING-NORTH,Mixed-Use Condo,Nadia Williams,Jordan Lee,Operations/SLA Review,Overdue work order,Medium,In Review,Low priority Preventive Maintenance work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Continue review
REV-0001663,2025-12-01,PROP-0119,318 WARREN STREET,Brooklyn,BOERUM HILL,Retail-Adjacent Condo,Nadia Williams,Taylor Morgan,Monthly Financial Review,Expense over budget,Medium,Open,Expense over budget detected for 2025-12-01. Expense variance 15.2%; income variance -4.7%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Open item follow-up
REV-0000242,2025-12-01,PROP-0126,31-35 31 STREET,Queens,ASTORIA,Multifamily Condo,Nadia Williams,Taylor Morgan,Vendor Invoice Review,Late payment,Medium,In Review,Invoice INV-0126-12-07646 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0001605,2025-12-01,PROP-0126,31-35 31 STREET,Queens,ASTORIA,Multifamily Condo,Nadia Williams,Jordan Lee,Monthly Financial Review,Income below budget,Medium,Open,Income below budget detected for 2025-12-01. Expense variance 0.8%; income variance -11.4%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Open item follow-up
REV-0000130,2025-12-01,PROP-0146,2300 FREDERICK DOUGLASS BLVD.,Manhattan,HARLEM-CENTRAL,Retail-Adjacent Condo,Nadia Williams,Jordan Lee,Vendor Invoice Review,Late payment; Missing GL code,Medium,Open,"Invoice INV-0146-12-08850 requires review: Late payment, Missing GL code, Approval status: Pending.","Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open item follow-up
REV-0000557,2025-12-01,PROP-0019,29 SOUTH 3 STREET,Brooklyn,WILLIAMSBURG-SOUTH,Mixed-Use Condo,Riley Chen,Jordan Lee,Vendor Invoice Review,Late payment,Medium,In Review,Invoice INV-0019-12-01206 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0000990,2025-12-01,PROP-0038,950 41 STREET,Brooklyn,BOROUGH PARK,Multifamily Condo,Riley Chen,Casey Rivera,Vendor Invoice Review,Late payment,Medium,In Review,Invoice INV-0038-12-02316 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0001167,2025-12-01,PROP-0057,727 OCEAN VIEW AVENUE,Brooklyn,BRIGHTON BEACH,Mixed-Use Condo,Riley Chen,Riley Chen,Vendor Invoice Review,Missing GL code,Medium,In Review,Invoice INV-0057-12-03483 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0000556,2025-12-01,PROP-0082,415 EAST 54 STREET,Manhattan,MIDTOWN EAST,Multifamily Condo,Riley Chen,Avery Johnson,Vendor Invoice Review,Approval status: Rejected,Medium,Open,Invoice INV-0082-12-05025 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open item follow-up
REV-0000777,2025-12-01,PROP-0112,45 EAST 80 STREET,Manhattan,UPPER EAST SIDE (79-96),Multifamily Condo,Riley Chen,Cameron Brooks,Vendor Invoice Review,Approval status: Pending,Medium,In Review,Invoice INV-0112-12-06829 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0000931,2025-12-01,PROP-0121,81-18 QUEENS BOULEVARD,Queens,ELMHURST,Mixed-Use Condo,Riley Chen,Taylor Morgan,Vendor Invoice Review,Late payment,Medium,Open,Invoice INV-0121-12-07345 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open item follow-up
REV-0000956,2025-12-01,PROP-0035,2833 FORD STREET,Brooklyn,SHEEPSHEAD BAY,Residential Condo,Samira Khan,Taylor Morgan,Vendor Invoice Review,Approval status: Rejected,Medium,Open,Invoice INV-0035-12-02157 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open item follow-up
REV-0000429,2025-12-01,PROP-0137,94-22 55 AVENUE,Queens,ELMHURST,Retail-Adjacent Condo,Samira Khan,Morgan Patel,Vendor Invoice Review,Potential duplicate invoice,Medium,In Review,Invoice INV-0137-07-08281 requires review: Potential duplicate invoice.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0001439,2025-12-01,PROP-0144,123 3 AVENUE,Manhattan,EAST VILLAGE,Multifamily Condo,Samira Khan,Taylor Morgan,Monthly Financial Review,Income below budget,Medium,In Review,Income below budget detected for 2025-12-01. Expense variance 3.9%; income variance -11.8%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Continue review
REV-0000614,2025-12-01,PROP-0005,680 RIVERSIDE DRIVE,Manhattan,HARLEM-UPPER,Residential Condo,Taylor Morgan,Morgan Patel,Vendor Invoice Review,Missing GL code,Medium,Open,Invoice INV-0005-12-00329 requires review: Missing GL code.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open item follow-up
REV-0000131,2025-12-01,PROP-0007,51 EAST 131 STREET,Manhattan,HARLEM-CENTRAL,Residential Condo,Taylor Morgan,Morgan Patel,Vendor Invoice Review,Approval status: Pending,Medium,Open,Invoice INV-0007-12-00451 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open item follow-up
REV-0000197,2025-12-01,PROP-0024,359 16 STREET,Brooklyn,PARK SLOPE SOUTH,Retail-Adjacent Condo,Taylor Morgan,Drew Thompson,Vendor Invoice Review,Late payment,Medium,In Review,Invoice INV-0024-12-01518 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0001508,2025-12-01,PROP-0024,359 16 STREET,Brooklyn,PARK SLOPE SOUTH,Retail-Adjacent Condo,Taylor Morgan,Cameron Brooks,Monthly Financial Review,Income below budget,Medium,In Review,Income below budget detected for 2025-12-01. Expense variance -2.3%; income variance -11.5%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Continue review
REV-0001954,2025-12-01,PROP-0024,359 16 STREET,Brooklyn,PARK SLOPE SOUTH,Retail-Adjacent Condo,Taylor Morgan,Samira Khan,Operations/SLA Review,Overdue work order,Medium,Open,Medium priority Plumbing work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Open item follow-up
REV-0001216,2025-12-01,PROP-0130,311 ST NICHOLAS AVENUE,Queens,RIDGEWOOD,Multifamily Condo,Taylor Morgan,Jordan Lee,Monthly Financial Review,Income below budget,Medium,Open,Income below budget detected for 2025-12-01. Expense variance 5.1%; income variance -8.5%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Open item follow-up
REV-0000011,2025-12-01,PROP-0132,1 CENTRAL PARK WEST,Manhattan,UPPER WEST SIDE (59-79),Multifamily Condo,Taylor Morgan,Samira Khan,Vendor Invoice Review,Approval status: Pending,Medium,In Review,Invoice INV-0132-12-07997 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0001834,2025-11-01,PROP-0093,269 EAST BURNSIDE AVENUE,Bronx,FORDHAM,Multifamily Condo,Avery Johnson,Taylor Morgan,Operations/SLA Review,Overdue work order,Medium,In Review,Medium priority Janitorial work order exceeded SLA expectations.,"Confirm vendor assignment, closure timeline, tenant impact, and recurring issue patterns.",Continue review
REV-0000222,2025-11-01,PROP-0152,2803 OCEAN PARKWAY,Brooklyn,BRIGHTON BEACH,Residential Condo,Avery Johnson,Cameron Brooks,Vendor Invoice Review,Approval status: Rejected,Medium,Open,Invoice INV-0152-11-09202 requires review: Approval status: Rejected.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open item follow-up
REV-0000945,2025-11-01,PROP-0157,52 DEAN STREET,Brooklyn,BOERUM HILL,Multifamily Condo,Avery Johnson,Riley Chen,Vendor Invoice Review,Late payment,Medium,In Review,Invoice INV-0157-11-09497 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0001266,2025-11-01,PROP-0157,52 DEAN STREET,Brooklyn,BOERUM HILL,Multifamily Condo,Avery Johnson,Samira Khan,Monthly Financial Review,Expense over budget,Medium,Open,Expense over budget detected for 2025-11-01. Expense variance 12.5%; income variance -1.7%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Open item follow-up
REV-0000150,2025-11-01,PROP-0010,72 BERRY STREET,Brooklyn,WILLIAMSBURG-NORTH,Multifamily Condo,Cameron Brooks,Drew Thompson,Vendor Invoice Review,Approval status: Pending,Medium,Open,Invoice INV-0010-11-00634 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Open item follow-up
REV-0001485,2025-11-01,PROP-0028,40-01 LITTLE NECK PARKWAY,Queens,LITTLE NECK,Multifamily Condo,Cameron Brooks,Samira Khan,Monthly Financial Review,Expense over budget,Medium,Open,Expense over budget detected for 2025-11-01. Expense variance 12.1%; income variance -8.1%.,"Review budget assumptions, rent collections, vendor spend, and operating drivers.",Open item follow-up
REV-0000977,2025-11-01,PROP-0073,1530 EAST 15 STREET,Brooklyn,MIDWOOD,Multifamily Condo,Cameron Brooks,Morgan Patel,Vendor Invoice Review,Late payment,Medium,In Review,Invoice INV-0073-11-04475 requires review: Late payment.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
REV-0000618,2025-11-01,PROP-0090,59 CONSELYEA STREET,Brooklyn,WILLIAMSBURG-EAST,Multifamily Condo,Cameron Brooks,Avery Johnson,Vendor Invoice Review,Approval status: Pending,Medium,In Review,Invoice INV-0090-11-05509 requires review: Approval status: Pending.,"Validate invoice coding, approval trail, payment timing, and supporting documentation before month-end close.",Continue review
